,Proficiency of Material Means,Explaining Material Well Means
"Moshiri, Alexander Niema",4.711428571428571,4.695714285714286
"Kane, Daniel Mertz",4.74,4.372857142857143
"Jones, Miles E",4.297446808510638,4.102340425531915
"Meyer, Kyle Phillip",4.0625,3.2975
"Cao, Yingjun",4.586666666666669,4.4105
"Powell, Thomas Allan",4.623636363636364,4.328484848484848
"Gillespie, Gary N",4.315576923076923,3.9239423076923075
"Miranda, Gregory Joseph",4.525499999999999,4.1385000000000005
"Pasquale, Joseph",4.795,4.708125
"Snoeren, Alex C.",4.713636363636364,4.578181818181818
"Heninger, Nadia A",4.52,3.825
"Jhala, Ranjit",4.506428571428572,4.392142857142858
"Vianu, Victor Dan",4.408571428571428,3.6542857142857144
"Rosing, Tajana Simunic",4.515833333333334,4.085
"Eldon, John",4.3882352941176475,4.090192307692307
"Chin, Bryan W.",4.350909090909091,3.8645454545454543
"Chaudhuri, Kamalika",4.529999999999999,4.185
"Ochoa, Benjamin Lawrence",4.556666666666667,4.109999999999999
"Muller, P Keith",4.5475,4.2375
"Schulze, Jurgen P.",4.718260869565217,4.520869565217391
"Chern, Albert Ren-Haur",4.39,3.3
"Rotenberg, Steven Paul",4.8149999999999995,4.677
"Klemmer, Scott R",3.9850000000000003,3.51125
"Swanson, Steven James",4.5984,4.448
"Pevzner, Pavel Arkadjevich",4.732222222222222,3.98
"Shalev, Aaron D",4.674,4.506
"Soosai Raj, Adalbert Geral",4.663333333333334,4.52
"Halicioglu, Daniel T",4.8133333333333335,4.640000000000001
"Alvarado, Christine J.",4.642727272727273,4.587090909090909
"Minnes Kemp, Mor Mia",4.368048780487804,4.317804878048781
"Porter, Leonard Emerson",4.617666666666667,4.459333333333333
"Cottrell, Garrison W",4.5058823529411764,3.843529411764706
"Politz, Joseph Gibbs",4.688400000000001,4.5592
"Sahoo, Debashis",3.882857142857143,3.478571428571428
"Dasgupta, Sanjoy",4.807777777777778,4.722222222222222
"Bellare, Mihir",4.703636363636363,4.208181818181819
"August, Robert Henry",4.42,4.14
"Weibel, Nadir",4.639166666666667,4.489166666666667
