,Proficiency of Material Means,Explaining Material Well Means
"Hui, Enfu",4.715,4.576666666666667
"Zhao, Yunde",4.55,3.7933333333333343
"Feng, Gen-Sheng",4.26875,3.5675
"Coleman, Aaron B.",4.698611111111111,4.6325
"Soowal, Lara",4.4125,4.199199999999999
"Bozinovic, Goran",4.676315789473684,4.2859649122807015
"Miller, Steven W.",4.425714285714285,4.153333333333333
"Rusert, Jessica Marie",4.065,3.7116666666666673
"Smith, Laurie",4.51,4.3876923076923084
"Yelon, Deborah",4.69,4.536666666666666
"Butler, Shannon Rhey",4.4761538461538475,4.266153846153847
"Stockwell, Sarah R",4.654375,4.5287500000000005
"Barton, Andrew David",4.621666666666667,4.533333333333333
"Chao, Lin",4.642941176470588,4.421764705882352
"Cooper, Andrew Michael",4.5473684210526315,4.3568421052631585
"Owens, Melinda Tsao-Ying",4.536153846153846,4.357692307692308
"Komiyama, Takaki",4.564285714285714,4.377142857142856
"Su, Chih-Ying",4.612307692307693,4.2807692307692315
"Schroeder, Julian I",4.374285714285714,4.114285714285715
"Park, Ji Young",4.608750000000001,4.4175
"Strause, Linda G.",4.5088888888888885,4.274444444444445
"Gambel, Jessica Erin",4.4750000000000005,4.456666666666666
"Caffrey, Carolee",4.412000000000001,4.134
"Macagno, Eduardo R.",4.542857142857143,4.314285714285715
"Mel, Stephanie",4.644117647058824,4.529111111111111
"Lo, Stanley Malvin Ming-Hi",4.514324324324323,4.331351351351352
"Reuther, Keefe",4.61703125,4.436718750000001
"Cleland, Elsa Eleanor",4.711818181818182,4.580666666666667
"Pogliano, Joseph",4.84,4.671176470588235
"Briggs, Steven",4.654285714285714,4.634285714285714
"Akbari, Omar Sultan",4.564,4.353999999999999
"Hao, Nan",4.667,4.487
"Meaders, Clara Leigh",,4.89
"Burg, Michael",4.589142857142857,4.423142857142857
"Day, Christopher D",4.503333333333334,4.148518518518518
"Grossman, Emily N",4.211333333333333,4.361851851851852
"Zhang, Dong-Er",4.541666666666667,4.211666666666667
"Duttke, Sascha Hans Christian",4.3,3.37
"Daugherty, Matthew Dorton",4.706,4.6080000000000005
"Golden, James W",4.371818181818181,4.293636363636364
"Pickett, Brooke Elizabeth",,4.82
"Petrie, Katherine Lynn",4.7299999999999995,4.770833333333333
"Pirino, Giorgia",4.499333333333333,4.3160869565217395
"Schiffer, Jamie Michelle",4.550000000000001,4.195
"Pevzner, Pavel Arkadjevich",4.551428571428572,3.664285714285714
"Murre, Cornelis",4.760000000000001,4.5008333333333335
"Hasty, Jeff M",4.807499999999999,4.5975
"Yanofsky, Martin F.",4.6899999999999995,4.595000000000001
"Bloodgood, Brenda Laurie",4.640000000000001,4.3575
"Cooke, James Edward",4.659375,4.563124999999999
"Reyes Gonzalez, Catalina",4.680833333333333,4.458333333333333
"Armour, Jon Christopher",4.89,4.758648648648649
"Hampton, Randolph Y.",4.640555555555555,4.352777777777778
"Banghart, Matthew Ryan",4.575,2.86
"Leutgeb, Stefan",4.385833333333333,3.749166666666666
"Wang, Jing",4.3525,4.05
"Juavinett, Ashley Lauren",4.7475000000000005,4.68125
"Chu, Monica W",4.596315789473685,4.462105263157895
"Zou, Yimin",4.400909090909092,4.028181818181818
